PRESCRIPTION_CODE,PRACTICE_CODE,BNF_CODE,QUANTITY,ITEMS,ACTUAL_COST
285,P82034,0302000V0BBABAB,1,3,61.74453
286,P82034,0302000V0BCAAA0,1,8,332.94482
287,P82034,0303020G0AAABAB,28,5,5.9055
288,P82034,0303020G0AAABAB,56,2,4.6996
289,P82034,0304010ACAAAAAA,30,1,4.09817
290,P82034,0304010D0AAAAAA,56,2,3.08578
291,P82034,0304010D0AAAAAA,28,2,1.66464
292,P82034,0304010D0AAAAAA,30,3,2.3372
293,P82652,0304010G0AAABAB,300,1,7.66037
294,P82652,0304010G0AAACAC,28,1,3.39695
295,P82652,0304010G0AAAPAP,300,1,5.24817
296,P82652,0304010G0AAAPAP,150,1,2.63029
297,P82034,0304010G0BCAAAC,56,2,3.74025
298,P82652,0304010I0AAAAAA,28,19,14.92585
299,P82652,0304010I0AAAAAA,56,1,1.45874
300,P82652,0304010I0AAAAAA,7,3,0.84208
301,P82652,0304010I0AAABAB,200,3,48.16892
302,P82652,0304010I0AAABAB,150,1,12.14533
303,P82034,0304010J0AAABAB,28,2,1.70204
304,P82034,0304010J0AAABAB,56,1,1.58029
305,P82034,0304010J0AAACAC,56,1,2.05061
306,P82034,0304010J0AAACAC,28,2,2.06301
307,P82034,0304010W0AAALAL,56,1,31.97867
308,P82652,0307000J0AAAAAA,168,10,224.20536
309,P82652,0307000J0AAAAAA,30,2,8.19066
310,P82652,0307000J0AAAAAA,112,8,119.82606
311,P82652,0307000J0AAAAAA,60,1,8.07826
312,P82652,0307000J0AAAAAA,120,7,111.60878
313,P82652,0307000J0AAAJAJ,56,1,16.67053
314,P82034,0307000J0BBAAAA,120,1,17.75793
315,P82034,0401010ADAAAAAA,30,1,14.40143
316,P82034,0401010ADAAAAAA,60,1,28.79046
317,P82034,0401010ADAABKBK,30,1,14.31728
318,P82034,0401010ADAABRBR,30,2,116.89475
319,P82034,0401010ADAABRBR,60,1,116.88235
320,P82034,0401010ADAACPCP,60,1,37.84087
321,P82652,0401010ADBBAAAA,112,1,53.83518
322,P82034,0401010R0AAACAC,56,1,5.22947
323,P82034,0401010R0AAACAC,28,5,13.10469
324,P82034,0401010Y0AAABAB,42,1,1.89817
325,P82034,0401010Y0AAABAB,7,3,1.23476
326,P82034,0401010Z0AAAAAA,7,3,0.98232
327,P82034,0401010Z0AAAAAA,14,10,5.33132
328,P82034,0401010Z0AAAAAA,28,4,3.41545
329,P82034,0401010Z0AAACAC,28,8,6.9805
330,P82034,0401010Z0AAACAC,14,8,4.33985
331,P82652,0401020B0AAAAAA,84,1,14.30509
332,P82652,0401020E0AAADAD,28,2,9.537
333,P82034,0401020P0AAADAD,28,1,32.3433
334,P82034,040201030AAAAAA,84,2,7.68578
335,P82034,040201030AAAKAK,28,1,5.12378
336,P82034,040201060AAAAAA,28,1,0.79777
337,P82034,040201060AAABAB,28,1,0.95671
338,P82034,040201060AAADAD,8,2,0.65488
339,P82652,0402010A0AAABAB,56,1,11.53761
340,P82034,0402010ABAAABAB,56,1,1.08476
341,P82034,0402010ABAAABAB,14,4,1.42196
342,P82034,0402010ABAAABAB,60,1,1.05021
343,P82034,0402010ABAAABAB,168,1,3.02012
344,P82034,0402010ABAAADAD,28,1,1.42134
345,P82652,0402010ADAAAAAA,28,1,28.01444
346,P82652,0402010ADAAAAAA,14,3,42.35429
347,P82652,0402010ADAAABAB,28,1,24.18111
348,P82652,0402010ADAAABAB,56,2,96.69962
349,P82652,0402010D0AAAIAI,84,1,79.95145
350,P82034,0402010L0AAAAAA,3,2,11.51911
351,P82034,0402010S0AAADAD,150,1,56.28762
352,P82034,0402010S0AAADAD,210,3,236.70434
353,P82034,0402010S0AAADAD,450,2,337.67612
354,P82034,0402030K0AAAFAF,28,1,2.3376
355,P82034,0402030K0AAAIAI,28,3,6.22745
356,P82652,0403010B0AAAGAG,56,5,6.51322
357,P82652,0403010B0AAAGAG,28,16,10.52035
358,P82652,0403010B0AAAGAG,84,2,3.89553
359,P82652,0403010B0AAAHAH,42,1,1.09411
360,P82652,0403010B0AAAHAH,84,5,9.87908
361,P82652,0403010B0AAAHAH,28,25,16.67179
362,P82652,0403010B0AAAHAH,56,4,5.28537
363,P82652,0403010B0AAAHAH,21,4,2.43171
364,P82652,0403010B0AAAIAI,84,2,5.57846
365,P82652,0403010B0AAAIAI,28,6,5.62806
366,P82034,0403010V0AAADAD,56,2,2.637
367,P82034,0403010V0AAAEAE,112,1,3.04817
368,P82034,0403010V0AAAEAE,56,1,1.58029
369,P82034,0403010X0AAABAB,28,1,1.50549
370,P82034,0403010X0AAAFAF,120,1,10.11931
371,P82034,0403010Y0AAACAC,28,2,374.94361
372,P82652,0403030D0AAAAAA,28,26,47.96794
373,P82652,0403030D0AAABAB,84,1,3.63069
374,P82652,0403030D0AAABAB,28,12,14.62197
375,P82652,0403030D0AAACAC,7,3,1.37501
376,P82652,0403030D0AAACAC,28,3,4.18842
377,P82034,0403030P0AAAKAK,28,1,1.86362
378,P82034,0403030P0AAALAL,28,1,13.66931
379,P82034,0403030Q0AAAAAA,28,47,43.20761
380,P82034,0403030Q0AAAAAA,56,7,12.78355
381,P82034,0403030Q0AAABAB,42,1,1.70183
382,P82034,0403030Q0AAABAB,14,6,3.87196
383,P82034,0403030Q0AAABAB,56,6,12.75245
384,P82034,0403030Q0AAABAB,28,26,27.79151
385,P82034,0403030Q0AAAZAZ,28,3,40.25916
